student_id,course_id,activity_date,minutes_spent,lessons_completed,progress_pct,last_activity_ts,source_system
S0001,C-HC-210,2026-01-19,71,1,100.00,2026-01-19 15:00:00,lms_moodle
S0001,C-HC-210,2026-01-21,33,1,100.00,2026-01-21 06:49:00,lms_moodle
S0001,C-HC-210,2026-01-30,75,4,100.00,2026-01-30 10:06:00,lms_canvas
S0001,C-HC-210,2026-01-31,63,2,77.42,2026-01-31 14:23:00,lms_canvas
S0002,C-HC-210,2025-11-04,66,1,7.91,2025-11-04 09:38:00,lms_moodle
S0002,C-HC-210,2025-11-05,9,5,13.08,2025-11-05 18:05:00,lms_canvas
S0002,C-HC-210,2025-11-13,47,2,35.87,2025-11-13 19:26:00,lms_canvas
S0002,C-HC-210,2025-11-16,34,5,36.89,2025-11-16 06:40:00,lms_moodle
S0002,C-HC-210,2025-11-19,11,2,38.93,2025-11-19 16:34:00,lms_canvas
S0002,C-HC-210,2025-11-20,46,4,47.91,2025-11-20 10:03:00,lms_moodle
S0002,C-HC-210,2025-11-25,62,4,53.76,2025-11-25 08:14:00,lms_moodle
S0002,C-HC-210,2025-12-06,42,3,46.66,2025-12-06 16:05:00,lms_moodle
S0002,C-HC-210,2025-12-16,78,5,50.54,2025-12-16 18:16:00,lms_canvas
S0002,C-HC-210,2025-12-21,56,4,95.32,2025-12-21 10:48:00,lms_canvas
S0002,C-HC-210,2025-12-25,66,4,76.79,2025-12-25 18:41:00,lms_canvas
S0002,C-HC-210,2025-12-28,76,4,100.00,2025-12-28 22:15:00,lms_canvas
S0003,C-HC-210,2025-12-15,19,5,9.14,2025-12-15 17:22:00,lms_canvas
S0003,C-HC-210,2025-12-27,46,2,37.19,2025-12-27 06:49:00,lms_moodle
S0003,C-HC-210,2025-12-30,26,2,44.65,2025-12-30 20:39:00,lms_canvas
S0003,C-HC-210,2026-01-06,61,0,76.91,2026-01-06 13:12:00,lms_moodle
S0003,C-HC-210,2026-01-15,24,5,97.40,2026-01-15 09:47:00,lms_canvas
S0003,C-HC-210,2026-01-22,36,4,100.00,2026-01-22 15:00:00,lms_moodle
S0003,C-HC-210,2026-01-28,19,2,93.11,2026-01-28 06:21:00,lms_canvas
S0003,C-RE-101,2025-12-18,90,0,15.78,2025-12-18 22:02:00,lms_moodle
S0003,C-RE-101,2025-12-22,26,0,20.38,2025-12-22 14:03:00,lms_moodle
S0003,C-RE-101,2025-12-25,88,0,18.13,2025-12-25 14:42:00,lms_moodle
S0003,C-RE-101,2026-01-08,18,0,47.55,2026-01-08 18:14:00,lms_moodle
S0003,C-RE-101,2026-01-11,70,5,39.57,2026-01-11 16:31:00,lms_canvas
S0003,C-RE-101,2026-01-12,28,1,68.04,2026-01-12 20:35:00,lms_canvas
S0003,C-RE-101,2026-01-13,10,1,99.56,2026-01-13 15:21:00,lms_moodle
S0003,C-RE-101,2026-01-17,55,5,51.25,2026-01-17 17:43:00,lms_moodle
S0003,C-RE-101,2026-01-22,50,5,70.60,2026-01-22 22:17:00,lms_canvas
S0003,C-RE-101,2026-01-24,85,2,100.00,2026-01-24 06:35:00,lms_moodle
S0003,C-RE-101,2026-01-26,33,1,80.81,2026-01-26 18:42:00,lms_canvas
S0004,C-RE-201,2026-02-07,34,3,35.54,2026-02-07 10:27:00,lms_moodle
S0004,C-RE-201,2026-02-16,82,2,62.65,2026-02-16 10:13:00,lms_canvas
S0004,C-RE-201,2026-02-22,79,4,92.36,2026-02-22 12:55:00,lms_canvas
S0004,C-RE-201,2026-02-23,44,5,96.41,2026-02-23 22:58:00,lms_canvas
S0004,C-RE-201,2026-02-26,60,1,99.44,2026-02-26 11:20:00,lms_canvas
S0004,C-RE-201,2026-03-01,76,4,100.00,2026-03-01 09:11:00,lms_moodle
S0004,C-RE-201,2026-03-11,23,5,59.30,2026-03-11 16:56:00,lms_moodle
S0005,C-HC-210,2025-12-18,77,4,1.46,2025-12-18 13:14:00,lms_canvas
S0005,C-HC-210,2025-12-23,50,0,14.26,2025-12-23 21:08:00,lms_moodle
S0005,C-HC-210,2025-12-25,88,2,10.94,2025-12-25 18:31:00,lms_moodle
S0005,C-HC-210,2025-12-26,22,1,12.48,2025-12-26 07:26:00,lms_canvas
S0005,C-HC-210,2025-12-28,39,3,15.90,2025-12-28 12:48:00,lms_canvas
S0005,C-HC-210,2025-12-29,13,1,34.25,2025-12-29 20:55:00,lms_moodle
S0005,C-HC-210,2026-01-03,46,3,47.18,2026-01-03 19:25:00,lms_canvas
S0005,C-HC-210,2026-01-05,82,5,50.32,2026-01-05 16:25:00,lms_canvas
S0005,C-HC-210,2026-01-14,71,0,53.29,2026-01-14 07:56:00,lms_canvas
S0005,C-HC-210,2026-01-24,71,4,68.07,2026-01-24 07:35:00,lms_moodle
S0005,C-HC-210,2026-01-25,71,5,100.00,2026-01-25 12:18:00,lms_moodle
S0005,C-HC-210,2026-01-26,55,2,100.00,2026-01-26 15:29:00,lms_canvas
S0005,C-HC-210,2026-01-31,59,2,100.00,2026-01-31 07:44:00,lms_canvas
S0005,C-HC-210,2026-02-02,64,5,89.46,2026-02-02 22:07:00,lms_canvas
S0005,C-HC-210,2026-02-04,79,5,100.00,2026-02-04 18:26:00,lms_moodle
S0005,C-HC-210,2026-02-07,62,0,70.60,2026-02-07 12:56:00,lms_moodle
S0005,C-HC-210,2026-02-08,16,2,87.35,2026-02-08 11:45:00,lms_canvas
S0005,C-HC-210,2026-02-12,16,0,100.00,2026-02-12 17:05:00,lms_moodle
S0005,C-FIN-110,2026-01-28,25,1,2.72,2026-01-28 07:26:00,lms_moodle
S0005,C-FIN-110,2026-02-04,44,5,22.84,2026-02-04 20:18:00,lms_canvas
S0005,C-FIN-110,2026-02-05,20,1,29.21,2026-02-05 06:39:00,lms_moodle
S0005,C-FIN-110,2026-02-16,6,3,41.90,2026-02-16 21:34:00,lms_canvas
S0005,C-FIN-110,2026-02-19,82,3,35.42,2026-02-19 21:29:00,lms_moodle
S0005,C-FIN-110,2026-03-02,61,0,77.09,2026-03-02 06:15:00,lms_moodle
S0005,C-FIN-110,2026-03-03,84,5,76.14,2026-03-03 12:03:00,lms_canvas
S0005,C-FIN-110,2026-03-09,23,0,96.88,2026-03-09 07:09:00,lms_canvas
S0005,C-FIN-110,2026-03-16,90,4,100.00,2026-03-16 15:21:00,lms_canvas
S0005,C-FIN-110,2026-03-26,11,0,100.00,2026-03-26 11:10:00,lms_moodle
S0005,C-FIN-110,2025-12-15,53,0,5.03,2025-12-15 08:18:00,lms_moodle
S0005,C-FIN-110,2025-12-18,22,0,11.95,2025-12-18 14:21:00,lms_moodle
S0005,C-FIN-110,2026-01-01,72,1,45.44,2026-01-01 07:06:00,lms_canvas
S0005,C-FIN-110,2026-01-02,66,5,47.55,2026-01-02 15:27:00,lms_moodle
S0005,C-FIN-110,2026-01-05,38,4,49.46,2026-01-05 17:59:00,lms_canvas
S0005,C-FIN-110,2026-01-11,83,4,57.79,2026-01-11 21:31:00,lms_canvas
S0005,C-FIN-110,2026-01-19,83,1,89.44,2026-01-19 12:00:00,lms_canvas
S0005,C-FIN-110,2026-01-29,8,3,100.00,2026-01-29 09:47:00,lms_canvas
S0005,C-FIN-110,2026-01-31,83,3,89.58,2026-01-31 16:22:00,lms_canvas
S0005,C-FIN-110,2026-02-07,6,5,78.53,2026-02-07 15:16:00,lms_canvas
S0006,C-RE-101,2025-11-28,8,1,0.00,2025-11-28 16:59:00,lms_moodle
S0006,C-RE-101,2025-12-05,65,0,16.04,2025-12-05 21:09:00,lms_moodle
S0006,C-RE-101,2025-12-17,73,2,36.57,2025-12-17 19:59:00,lms_canvas
S0006,C-RE-101,2025-12-18,71,2,42.60,2025-12-18 16:35:00,lms_canvas
S0006,C-RE-101,2025-12-19,31,4,49.79,2025-12-19 17:04:00,lms_canvas
S0006,C-RE-101,2025-12-23,40,0,41.96,2025-12-23 18:40:00,lms_canvas
S0006,C-RE-101,2025-12-30,78,4,56.93,2025-12-30 09:55:00,lms_moodle
S0006,C-RE-101,2026-01-02,45,5,37.21,2026-01-02 19:05:00,lms_moodle
S0006,C-RE-101,2026-01-03,35,2,68.54,2026-01-03 15:13:00,lms_moodle
S0006,C-RE-101,2026-01-06,27,0,68.19,2026-01-06 07:49:00,lms_canvas
S0006,C-RE-101,2026-01-10,16,3,86.52,2026-01-10 21:57:00,lms_canvas
S0006,C-RE-101,2026-01-13,29,2,100.00,2026-01-13 22:19:00,lms_moodle
S0006,C-RE-101,2026-01-16,23,0,100.00,2026-01-16 22:43:00,lms_canvas
S0006,C-RE-101,2026-01-18,31,5,54.73,2026-01-18 18:45:00,lms_canvas
S0007,C-RE-201,2026-01-06,81,0,3.33,2026-01-06 07:06:00,lms_moodle
S0007,C-RE-201,2026-01-23,7,4,47.82,2026-01-23 12:20:00,lms_canvas
S0007,C-RE-201,2026-02-16,29,2,66.79,2026-02-16 16:49:00,lms_moodle
S0007,C-RE-201,2026-02-27,90,0,83.45,2026-02-27 11:17:00,lms_canvas
S0007,C-RE-201,2026-03-04,6,4,100.00,2026-03-04 09:13:00,lms_moodle
S0007,C-FIN-110,2025-11-19,21,0,5.82,2025-11-19 07:06:00,lms_moodle
S0007,C-FIN-110,2025-11-20,11,0,7.41,2025-11-20 11:45:00,lms_moodle
S0007,C-FIN-110,2025-11-25,83,2,14.62,2025-11-25 12:45:00,lms_canvas
S0007,C-FIN-110,2025-11-26,64,4,12.64,2025-11-26 20:06:00,lms_moodle
S0007,C-FIN-110,2025-12-01,44,5,34.33,2025-12-01 20:30:00,lms_canvas
S0007,C-FIN-110,2025-12-03,33,1,46.28,2025-12-03 14:58:00,lms_moodle
S0007,C-FIN-110,2025-12-04,55,1,43.19,2025-12-04 16:50:00,lms_moodle
S0007,C-FIN-110,2025-12-05,63,3,20.15,2025-12-05 21:07:00,lms_moodle
S0007,C-FIN-110,2025-12-07,66,3,56.52,2025-12-07 15:49:00,lms_moodle
S0007,C-FIN-110,2025-12-14,82,4,35.13,2025-12-14 09:25:00,lms_canvas
S0007,C-FIN-110,2025-12-20,46,4,78.16,2025-12-20 15:34:00,lms_moodle
S0007,C-FIN-110,2025-12-22,56,4,65.77,2025-12-22 13:35:00,lms_canvas
S0007,C-FIN-110,2025-12-25,66,3,44.15,2025-12-25 12:52:00,lms_moodle
S0007,C-FIN-110,2025-12-31,60,4,100.00,2025-12-31 13:11:00,lms_canvas
S0007,C-FIN-110,2026-01-06,78,3,62.66,2026-01-06 20:20:00,lms_canvas
S0007,C-RE-201,2026-01-02,79,5,7.86,2026-01-02 10:42:00,lms_canvas
S0007,C-RE-201,2026-01-03,62,4,6.33,2026-01-03 20:12:00,lms_canvas
S0007,C-RE-201,2026-01-04,45,2,10.70,2026-01-04 15:58:00,lms_moodle
S0007,C-RE-201,2026-01-05,49,0,12.99,2026-01-05 22:25:00,lms_canvas
S0007,C-RE-201,2026-01-07,42,0,13.91,2026-01-07 07:00:00,lms_moodle
S0007,C-RE-201,2026-01-10,19,2,30.04,2026-01-10 13:27:00,lms_moodle
S0007,C-RE-201,2026-01-12,85,2,31.51,2026-01-12 18:24:00,lms_moodle
S0007,C-RE-201,2026-01-18,74,1,44.17,2026-01-18 21:08:00,lms_canvas
S0007,C-RE-201,2026-01-19,76,3,53.73,2026-01-19 17:53:00,lms_moodle
S0007,C-RE-201,2026-01-23,24,2,71.88,2026-01-23 10:08:00,lms_canvas
S0007,C-RE-201,2026-01-24,14,5,25.79,2026-01-24 21:42:00,lms_moodle
S0007,C-RE-201,2026-01-30,22,0,39.51,2026-01-30 19:55:00,lms_moodle
S0007,C-RE-201,2026-02-06,82,3,85.37,2026-02-06 20:32:00,lms_moodle
S0007,C-RE-201,2026-02-09,75,3,72.55,2026-02-09 13:11:00,lms_moodle
S0007,C-RE-201,2026-02-10,82,0,90.55,2026-02-10 13:45:00,lms_moodle
S0007,C-RE-201,2026-02-11,57,4,92.57,2026-02-11 07:02:00,lms_moodle
S0007,C-RE-201,2026-02-17,52,0,100.00,2026-02-17 08:09:00,lms_moodle
S0007,C-RE-201,2026-02-20,64,4,60.14,2026-02-20 08:15:00,lms_moodle
S0007,C-RE-201,2026-02-23,85,5,100.00,2026-02-23 08:43:00,lms_moodle
S0008,C-FIN-110,2026-02-07,63,4,0.00,2026-02-07 16:26:00,lms_moodle
S0008,C-FIN-110,2026-02-28,42,2,28.04,2026-02-28 15:46:00,lms_moodle
S0008,C-FIN-110,2026-03-09,12,5,58.39,2026-03-09 11:36:00,lms_canvas
S0008,C-FIN-110,2026-03-13,89,2,89.00,2026-03-13 06:18:00,lms_moodle
S0008,C-FIN-110,2026-03-28,15,1,98.55,2026-03-28 14:16:00,lms_canvas
S0008,C-FIN-110,2026-04-05,83,2,88.37,2026-04-05 14:00:00,lms_canvas
S0008,C-RE-101,2025-12-11,35,3,12.25,2025-12-11 22:55:00,lms_canvas
S0008,C-RE-101,2025-12-13,48,0,32.28,2025-12-13 10:53:00,lms_moodle
S0008,C-RE-101,2025-12-18,57,3,23.61,2025-12-18 20:46:00,lms_canvas
S0008,C-RE-101,2025-12-25,31,4,56.78,2025-12-25 17:03:00,lms_moodle
S0008,C-RE-101,2025-12-30,19,0,37.39,2025-12-30 18:30:00,lms_moodle
S0008,C-RE-101,2026-01-08,65,5,100.00,2026-01-08 13:24:00,lms_moodle
S0008,C-RE-101,2026-01-13,65,2,54.19,2026-01-13 19:00:00,lms_moodle
S0008,C-RE-101,2026-01-18,62,3,100.00,2026-01-18 22:43:00,lms_canvas
S0008,C-RE-101,2026-01-22,17,4,100.00,2026-01-22 19:39:00,lms_moodle
S0008,C-RE-101,2026-01-29,47,2,88.98,2026-01-29 09:16:00,lms_moodle
S0008,C-RE-101,2026-01-06,6,3,0.00,2026-01-06 09:43:00,lms_moodle
S0008,C-RE-101,2026-01-10,49,1,9.80,2026-01-10 14:12:00,lms_canvas
S0008,C-RE-101,2026-01-17,8,4,13.02,2026-01-17 12:38:00,lms_canvas
S0008,C-RE-101,2026-01-18,20,0,32.55,2026-01-18 10:24:00,lms_canvas
S0008,C-RE-101,2026-01-21,19,5,20.53,2026-01-21 15:29:00,lms_canvas
S0008,C-RE-101,2026-01-26,86,3,56.91,2026-01-26 14:49:00,lms_moodle
S0008,C-RE-101,2026-01-27,90,2,31.81,2026-01-27 08:17:00,lms_canvas
S0008,C-RE-101,2026-02-08,53,3,54.96,2026-02-08 07:16:00,lms_moodle
S0008,C-RE-101,2026-02-10,27,3,39.86,2026-02-10 12:39:00,lms_moodle
S0008,C-RE-101,2026-02-12,27,5,73.41,2026-02-12 10:34:00,lms_moodle
S0008,C-RE-101,2026-02-18,32,4,98.33,2026-02-18 20:45:00,lms_moodle
S0008,C-RE-101,2026-02-19,18,0,50.42,2026-02-19 14:49:00,lms_moodle
S0008,C-RE-101,2026-02-21,7,3,59.69,2026-02-21 06:59:00,lms_canvas
S0008,C-RE-101,2026-02-22,90,3,72.05,2026-02-22 16:57:00,lms_moodle
S0008,C-RE-101,2026-02-23,78,0,97.48,2026-02-23 21:30:00,lms_moodle
S0008,C-RE-101,2026-02-24,56,5,100.00,2026-02-24 08:34:00,lms_canvas
S0008,C-RE-101,2026-03-01,5,3,100.00,2026-03-01 21:07:00,lms_moodle
S0008,C-RE-101,2026-03-05,47,5,93.13,2026-03-05 07:40:00,lms_canvas
S0008,C-RE-101,2026-03-06,51,4,100.00,2026-03-06 16:05:00,lms_moodle
S0009,C-HC-210,2025-12-14,50,3,2.34,2025-12-14 20:47:00,lms_canvas
S0009,C-HC-210,2025-12-18,22,0,8.32,2025-12-18 13:31:00,lms_moodle
S0009,C-HC-210,2025-12-23,13,4,25.15,2025-12-23 21:34:00,lms_moodle
S0009,C-HC-210,2025-12-24,7,0,20.14,2025-12-24 16:50:00,lms_canvas
S0009,C-HC-210,2025-12-31,56,0,27.04,2025-12-31 22:29:00,lms_canvas
S0009,C-HC-210,2026-01-05,79,1,68.39,2026-01-05 07:47:00,lms_canvas
S0009,C-HC-210,2026-01-16,67,5,36.33,2026-01-16 07:15:00,lms_canvas
S0009,C-HC-210,2026-01-21,6,1,90.61,2026-01-21 15:52:00,lms_canvas
S0009,C-HC-210,2026-01-22,63,4,55.00,2026-01-22 08:52:00,lms_canvas
S0009,C-HC-210,2026-01-23,19,3,91.98,2026-01-23 13:04:00,lms_canvas
S0009,C-HC-210,2026-01-25,59,2,100.00,2026-01-25 18:20:00,lms_canvas
S0009,C-HC-210,2026-01-31,78,4,63.73,2026-01-31 12:48:00,lms_canvas
S0009,C-HC-210,2026-02-04,80,1,90.23,2026-02-04 09:17:00,lms_canvas
S0009,C-HC-210,2026-02-08,58,1,100.00,2026-02-08 11:28:00,lms_canvas
S0009,C-HC-210,2026-01-28,53,1,6.19,2026-01-28 21:05:00,lms_canvas
S0009,C-HC-210,2026-01-30,5,1,22.82,2026-01-30 15:26:00,lms_moodle
S0009,C-HC-210,2026-03-02,21,1,50.16,2026-03-02 14:33:00,lms_moodle
S0009,C-HC-210,2026-03-03,57,1,100.00,2026-03-03 07:38:00,lms_canvas
S0009,C-HC-210,2026-03-13,68,4,100.00,2026-03-13 15:22:00,lms_moodle
S0009,C-HC-210,2026-03-17,5,4,79.45,2026-03-17 09:33:00,lms_canvas
S0009,C-FIN-110,2025-10-28,65,3,4.06,2025-10-28 07:03:00,lms_moodle
S0009,C-FIN-110,2025-11-01,41,1,13.09,2025-11-01 16:39:00,lms_moodle
S0009,C-FIN-110,2025-11-03,10,0,22.33,2025-11-03 11:10:00,lms_canvas
S0009,C-FIN-110,2025-11-06,67,4,14.79,2025-11-06 13:46:00,lms_moodle
S0009,C-FIN-110,2025-11-07,80,4,21.48,2025-11-07 12:47:00,lms_moodle
S0009,C-FIN-110,2025-11-08,34,0,23.13,2025-11-08 09:15:00,lms_moodle
S0009,C-FIN-110,2025-11-11,30,3,47.31,2025-11-11 08:30:00,lms_moodle
S0009,C-FIN-110,2025-11-23,11,3,37.41,2025-11-23 20:11:00,lms_moodle
S0009,C-FIN-110,2025-11-26,52,1,61.30,2025-11-26 12:40:00,lms_moodle
S0009,C-FIN-110,2025-11-28,39,1,56.84,2025-11-28 07:44:00,lms_canvas
S0009,C-FIN-110,2025-12-04,40,1,48.89,2025-12-04 20:29:00,lms_moodle
S0009,C-FIN-110,2025-12-06,26,2,60.47,2025-12-06 15:38:00,lms_canvas
S0009,C-FIN-110,2025-12-07,86,4,100.00,2025-12-07 13:05:00,lms_moodle
S0009,C-FIN-110,2025-12-12,71,3,100.00,2025-12-12 12:37:00,lms_moodle
S0009,C-FIN-110,2025-12-13,64,2,50.42,2025-12-13 19:47:00,lms_canvas
S0009,C-FIN-110,2025-12-19,36,2,100.00,2025-12-19 13:57:00,lms_canvas
S0010,C-HC-210,2026-02-11,69,0,3.70,2026-02-11 18:30:00,lms_canvas
S0010,C-HC-210,2026-03-07,62,3,38.51,2026-03-07 06:44:00,lms_moodle
S0010,C-HC-210,2026-03-11,32,1,51.50,2026-03-11 13:41:00,lms_canvas
S0010,C-HC-210,2026-03-27,7,3,100.00,2026-03-27 11:45:00,lms_moodle
S0010,C-HC-210,2026-03-30,78,5,100.00,2026-03-30 20:29:00,lms_canvas
S0010,C-RE-201,2026-01-06,59,2,0.00,2026-01-06 12:50:00,lms_canvas
S0010,C-RE-201,2026-01-08,84,2,4.94,2026-01-08 07:32:00,lms_moodle
S0010,C-RE-201,2026-01-10,11,0,7.06,2026-01-10 20:39:00,lms_canvas
S0010,C-RE-201,2026-01-17,51,2,14.86,2026-01-17 08:35:00,lms_canvas
S0010,C-RE-201,2026-01-24,22,2,26.59,2026-01-24 09:41:00,lms_moodle
S0010,C-RE-201,2026-01-27,79,5,29.81,2026-01-27 13:20:00,lms_moodle
S0010,C-RE-201,2026-01-29,39,4,54.29,2026-01-29 14:03:00,lms_canvas
S0010,C-RE-201,2026-01-30,52,2,45.72,2026-01-30 22:33:00,lms_canvas
S0010,C-RE-201,2026-02-04,65,5,59.85,2026-02-04 15:28:00,lms_moodle
S0010,C-RE-201,2026-02-08,13,1,91.87,2026-02-08 20:05:00,lms_canvas
S0010,C-RE-201,2026-02-15,55,1,63.07,2026-02-15 08:06:00,lms_canvas
S0010,C-RE-201,2026-02-19,40,0,100.00,2026-02-19 21:09:00,lms_canvas
S0010,C-RE-201,2026-02-20,71,5,47.04,2026-02-20 19:43:00,lms_canvas
S0010,C-RE-201,2026-02-25,65,2,92.01,2026-02-25 06:18:00,lms_canvas
S0010,C-RE-201,2026-02-27,13,0,100.00,2026-02-27 13:53:00,lms_moodle
S0010,C-RE-201,2026-03-02,57,4,92.71,2026-03-02 16:31:00,lms_moodle
S0010,C-RE-201,2026-03-04,63,2,100.00,2026-03-04 15:10:00,lms_moodle
S0010,C-HC-210,2025-11-12,25,5,6.21,2025-11-12 11:11:00,lms_canvas
S0010,C-HC-210,2025-11-18,25,1,11.10,2025-11-18 16:36:00,lms_canvas
S0010,C-HC-210,2025-11-19,61,2,17.39,2025-11-19 12:35:00,lms_canvas
S0010,C-HC-210,2025-11-27,90,2,53.21,2025-11-27 10:23:00,lms_moodle
S0010,C-HC-210,2025-12-01,74,1,45.48,2025-12-01 09:58:00,lms_canvas
S0010,C-HC-210,2025-12-02,56,3,58.35,2025-12-02 20:59:00,lms_moodle
S0010,C-HC-210,2025-12-08,24,0,85.27,2025-12-08 22:21:00,lms_moodle
S0010,C-HC-210,2025-12-09,65,2,88.18,2025-12-09 10:51:00,lms_moodle
S0010,C-HC-210,2025-12-18,48,5,47.76,2025-12-18 21:57:00,lms_canvas
S0010,C-HC-210,2025-12-28,22,5,100.00,2025-12-28 15:01:00,lms_moodle
S0010,C-HC-210,2026-01-02,84,1,100.00,2026-01-02 08:20:00,lms_canvas
S0010,C-HC-210,2026-01-05,82,5,79.25,2026-01-05 22:14:00,lms_moodle
S0011,C-RE-101,2025-11-25,67,2,2.21,2025-11-25 22:03:00,lms_moodle
S0011,C-RE-101,2025-11-29,55,1,12.16,2025-11-29 19:23:00,lms_moodle
S0011,C-RE-101,2025-12-06,52,0,18.83,2025-12-06 17:19:00,lms_moodle
S0011,C-RE-101,2025-12-19,76,0,35.78,2025-12-19 20:47:00,lms_moodle
S0011,C-RE-101,2025-12-22,61,2,37.17,2025-12-22 19:46:00,lms_moodle
S0011,C-RE-101,2025-12-26,22,4,70.27,2025-12-26 10:13:00,lms_moodle
S0011,C-RE-101,2025-12-28,65,4,100.00,2025-12-28 08:59:00,lms_moodle
S0011,C-RE-101,2026-01-05,16,0,76.39,2026-01-05 14:26:00,lms_canvas
S0011,C-RE-101,2026-01-06,76,3,100.00,2026-01-06 10:12:00,lms_canvas
S0011,C-RE-101,2026-01-17,53,2,100.00,2026-01-17 07:52:00,lms_moodle
S0011,C-RE-101,2026-01-21,79,2,100.00,2026-01-21 20:14:00,lms_canvas
S0011,C-FIN-110,2026-02-14,86,3,11.24,2026-02-14 15:26:00,lms_canvas
S0011,C-FIN-110,2026-02-21,67,5,36.63,2026-02-21 06:07:00,lms_moodle
S0011,C-FIN-110,2026-02-24,68,0,41.76,2026-02-24 17:37:00,lms_moodle
S0011,C-FIN-110,2026-03-17,77,3,100.00,2026-03-17 21:44:00,lms_canvas
S0011,C-FIN-110,2026-03-30,52,4,100.00,2026-03-30 06:54:00,lms_moodle
S0012,C-FIN-110,2025-10-22,39,2,5.52,2025-10-22 17:03:00,lms_moodle
S0012,C-FIN-110,2025-10-27,42,4,18.22,2025-10-27 08:32:00,lms_canvas
S0012,C-FIN-110,2025-10-28,85,1,22.76,2025-10-28 11:34:00,lms_moodle
S0012,C-FIN-110,2025-10-29,45,5,26.00,2025-10-29 14:43:00,lms_moodle
S0012,C-FIN-110,2025-11-08,17,4,43.20,2025-11-08 10:00:00,lms_canvas
S0012,C-FIN-110,2025-11-10,71,2,38.41,2025-11-10 21:26:00,lms_moodle
S0012,C-FIN-110,2025-11-17,25,0,41.64,2025-11-17 22:14:00,lms_canvas
S0012,C-FIN-110,2025-11-25,76,4,88.03,2025-11-25 22:54:00,lms_canvas
S0012,C-FIN-110,2025-12-02,58,3,100.00,2025-12-02 09:52:00,lms_canvas
S0012,C-FIN-110,2025-12-16,7,3,98.39,2025-12-16 17:08:00,lms_moodle
S0012,C-RE-101,2025-12-31,31,1,2.96,2025-12-31 19:44:00,lms_canvas
S0012,C-RE-101,2026-01-06,14,0,17.85,2026-01-06 19:02:00,lms_canvas
S0012,C-RE-101,2026-01-07,18,0,20.69,2026-01-07 22:37:00,lms_canvas
S0012,C-RE-101,2026-01-08,65,0,25.35,2026-01-08 07:04:00,lms_moodle
S0012,C-RE-101,2026-01-10,90,0,27.60,2026-01-10 09:58:00,lms_canvas
